"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Publisher","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Gholamzadeh Chofreh A.; Goni F.A.; Ismail S.; Mohamed Shaharoun A.; Klemeš J.J.; Zeinalnezhad M.","Gholamzadeh Chofreh, Abdoulmohammad (54418482700); Goni, Feybi Ariani (36706078200); Ismail, Syuhaida (55255925100); Mohamed Shaharoun, Awaluddin (6507443117); Klemeš, Jiří Jaromír (56903012000); Zeinalnezhad, Masoomeh (37023634000)","54418482700; 36706078200; 55255925100; 6507443117; 56903012000; 37023634000","A master plan for the implementation of sustainable enterprise resource planning systems (part I): concept and methodology","2016","Journal of Cleaner Production","136","","","176","182","6","43","10.1016/j.jclepro.2016.05.140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971659918&doi=10.1016%2fj.jclepro.2016.05.140&partnerID=40&md5=544d607cd641b1613db996b37aa54118","Department of Industrial Engineering, Buein Zahra Technical University, Buein Zahra, Qazvin, Iran; Faculty of Mechanical Engineering, Universiti Teknologi Malaysia, Johor Bahru, 81310, Malaysia; Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Malaysia; UTM Razak School of Engineering & Advanced Technology, International Campus, Kuala Lumpur, Malaysia; Faculty of Information Technology and Bionics Pázmány Péter Catholic University, Práter u. 50/a, Budapest, 1083, Hungary; Department of Industrial Engineering, Faculty of Engineering, Islamic Azad University, West Tehran Branch, Tehran, Iran","Gholamzadeh Chofreh A., Department of Industrial Engineering, Buein Zahra Technical University, Buein Zahra, Qazvin, Iran, Faculty of Mechanical Engineering, Universiti Teknologi Malaysia, Johor Bahru, 81310, Malaysia; Goni F.A., Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Malaysia; Ismail S., UTM Razak School of Engineering & Advanced Technology, International Campus, Kuala Lumpur, Malaysia; Mohamed Shaharoun A., UTM Razak School of Engineering & Advanced Technology, International Campus, Kuala Lumpur, Malaysia; Klemeš J.J., Faculty of Information Technology and Bionics Pázmány Péter Catholic University, Práter u. 50/a, Budapest, 1083, Hungary; Zeinalnezhad M., Department of Industrial Engineering, Faculty of Engineering, Islamic Azad University, West Tehran Branch, Tehran, Iran","Sustainability has become a business imperative and every organization needs to respond it. In practicing sustainable organizations, practitioners require to implement Sustainable Enterprise Resource Planning (S-ERP) systems in order to aid them in solving a segregation problem over extended value chain. The concept of the S-ERP system can be adopted from an Enterprise Resource Planning (ERP) system, however, they have distinction in terms of philosophical perspective. S-ERP system adds new dimensions of complexity, including new data types, new sources of data, and new stakeholders. It is more challenging to be implemented successfully than ERP system. Although various software vendors have developed S-ERP software applications, however, the organizations still have a difficulty to implement it due to lack of master plan that provides a holistic approach to implement the system. This problem motivates the researchers to introduce a concept of the S-ERP master plan in this study. Generally, the design of the master plan is developed based on the concept of project management as it can handle complex and complicated projects. The structure of the master plan contains of three essential components: roadmap, framework, and guidelines. These three components are closely interrelated and each of them has its own role in the S-ERP system implementation. An introduction of the S-ERP master plan concept in this paper perhaps would give a bird's eye view to the practitioners about the imperative of the master plan in order to mitigate problems that occur during the S-ERP implementation projects. © 2016 Elsevier Ltd","Concept; Implementation; Master plan; Methodology; Sustainable enterprise resource planning","Elsevier Ltd","09596526","","JCROE","Article","Final","","Scopus","2-s2.0-84971659918"
"Saha I.; Kundu A.; Ghosh S.K.","Saha, Ipsita (57203209295); Kundu, Amit (58712448000); Ghosh, Sadhan Kumar (56565834500)","57203209295; 58712448000; 56565834500","Development of Sustainable Business Model: A Conceptual Framework for the Financial Sector to Obtain Successful ERP","2020","International Journal of Sustainable Development and Planning","15","8","","1313","1321","8","0","10.18280/ijsdp.150818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098059341&doi=10.18280%2fijsdp.150818&partnerID=40&md5=aa690584f37526f160e388f25f688e3a","Department of Mechanical Engineering, Jadavpur University, Kolkata, 700032, India; School of Management, Techno India Group, Kolkata, 700091, India; Department of Mechanical Engineering, Jadavpur University, Kolkata, 700032, India; International Society of Waste Management, Air and Water (ISWMAW), Kolkata, 700032, India","Saha I., Department of Mechanical Engineering, Jadavpur University, Kolkata, 700032, India; Kundu A., School of Management, Techno India Group, Kolkata, 700091, India; Ghosh S.K., Department of Mechanical Engineering, Jadavpur University, Kolkata, 700032, India, International Society of Waste Management, Air and Water (ISWMAW), Kolkata, 700032, India","The present study identifies the key antecedent factors for accomplishing the adoption stage of enterprise resource planning (ERP) systems in their business operations. Four potential antecedent factors of adoption were derived from the literature, and data were obtained from a sample of 200 executives of the banking organizations of the financial sector across India. A structural equation modeling (SEM) technique was used to examine the complex relationships between antecedents and the adoption decision. The authors survey the literature to discover and classify critical success factors that are potentially applicable to financial sector. Four broad parameters namely, strategic, organizational, technological, and environmental (SOTE) has been identified for the efficacious development of ERP system in the financial sector of India. 11 dimensions has emerged as significant one for the financial sector. The results show that most of the success factors found in the literature apply to the industry. Nevertheless, distinct differences were found as well. Some factors, such as innovativeness of the implementation strategy, formulation of sound business plan, integration within the departments, adaptation capability of the system etc. would become the key instruments for successful implementation of ERP in the financial sector. The findings can help the executives of the financial sector to focus their attention, priorities, resources and leadership on managing the success factors that have been established to be critical for achieving ERP project implementation and ultimately, leading to the development of the sustainable business model. © 2020 WITPress. All rights reserved.","Critical success factors; Enterprise resource planning (ERP); Financial sector; Structural equation modeling (SEM); Sustainable business model","International Information and Engineering Technology Association","17437601","","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85098059341"
"Tobing M.R.R.; Yanuar Ridwan A.; Saputra M.","Tobing, Muhammad Rasyid Ridho (57216364791); Yanuar Ridwan, Ari (57218629543); Saputra, Muhardi (57211266370)","57216364791; 57218629543; 57211266370","Designing a Sustainable Green Accounting System Based on Enterprise Resource Planning for Leather Tanning Industry","2019","2019 2nd International Seminar on Research of Information Technology and Intelligent Systems, ISRITI 2019","","","9034561","558","562","4","5","10.1109/ISRITI48646.2019.9034561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083317390&doi=10.1109%2fISRITI48646.2019.9034561&partnerID=40&md5=98fc3d7b229a674323f8b0e66359743a","Telkom University, Information System Department, Bandung, Indonesia; Industrial Engineering, Department Telkom University, Bandung, Indonesia","Tobing M.R.R., Telkom University, Information System Department, Bandung, Indonesia; Yanuar Ridwan A., Industrial Engineering, Department Telkom University, Bandung, Indonesia; Saputra M., Telkom University, Information System Department, Bandung, Indonesia","This study designs a Supply Chain Management (SCM) system using Enterprise Resource Planning (ERP) based on a green accounting module. ERP is an information system that can integrate, monitor, and record every process and transaction in the company. This study also uses literature related to the application of environmental quality management and green standards in Indonesia. The result of this study is an ERP system design using open source software and green accounting modules and will integrate cost, environmental, and social aspects to enhance sustainable industry and increase its value. This study resulted in several user requirements, system requirements, and made into the proposed business process design. Then, the system designed will be developed and will be implemented if needed by the user of the system. © 2019 IEEE.","Enterprise Resource Planning; Green Accounting; Green Standards; Open Source Software; Supply Chain Management","Institute of Electrical and Electronics Engineers Inc.","","978-172814520-4","","Conference paper","Final","","Scopus","2-s2.0-85083317390"
"Zheng J.; Khalid H.","Zheng, Jiehui (57743079300); Khalid, Haliyana (35299493300)","57743079300; 35299493300","The Adoption of Enterprise Resource Planning and Business Intelligence Systems in Small and Medium Enterprises: A Conceptual Framework","2022","Mathematical Problems in Engineering","2022","","1829347","","","","5","10.1155/2022/1829347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132025358&doi=10.1155%2f2022%2f1829347&partnerID=40&md5=58a22c10cd954ac99362587c92cfbe0d","Azman Hashim International Business School, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia","Zheng J., Azman Hashim International Business School, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia; Khalid H., Azman Hashim International Business School, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia","The widespread globalism of services and the fast technological progress brought about by IT have made organizations today competitive in offering new products and services. One of the highlighted innovations is the enterprise resource planning and business intelligence system (ERPB), which has captivated the interest of industry analysts and policymakers due to its potential to provide more intellectual information for decision making and ensure its continuity. Firms must use ERPBI appropriately to flourish, as its misuse leads to failure. Even though research has focused on the factors influencing ERPBI adoption, most studies have ignored many factors that influenced the behavioral intention to adopt variable that significantly affects the adoption and use of technology. Ensuring the proper adoption of ERPBI is critical to corporate success. If ERPBI is misused, this will not serve its objective. Although a few studies have studied factors affecting the success of ERPBI adoption, the majority have failed to discover drivers of continuity and sustainability. This article proposed a conceptual framework for ERPBI adoption using the TOE and UTAUT models. Four main hypotheses were formulated for the three dimensions of technology, organization, and environment. The proposed framework is vital in adopting the ERPBI and could shape the direction in successfully adopting new technologies in SMEs. This study could fill in the gap in ERPBI research because previous studies have not focused on ERPBI adoption factors, ERPBI adoption, and business continuity.  © 2022 Jiehui Zheng and Haliyana Khalid.","","Hindawi Limited","1024123X","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85132025358"
"Uddin M.R.; Al Noman A.; Tasnim F.; Nafisa N.; Hossain S.","Uddin, Mohd. Raihan (57223047422); Al Noman, Abdullah (58197201000); Tasnim, Farzana (57204509772); Nafisa, Nuren (57223034816); Hossain, Saddam (58253404400)","57223047422; 58197201000; 57204509772; 57223034816; 58253404400","A Hybrid MCDM Approach based on AHP, and TOPSIS to select an ERP system in Bangladesh","2021","2021 International Conference on Information and Communication Technology for Sustainable Development, ICICT4SD 2021 - Proceedings","","","9396932","161","165","4","4","10.1109/ICICT4SD50815.2021.9396932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104592842&doi=10.1109%2fICICT4SD50815.2021.9396932&partnerID=40&md5=a1a63b8acd81c89aabc10074834b6065","International Islamic University Chittagong, Dept. of Cse, Kumira, Chittagong, 4318, Bangladesh; Sylhet Engineering College, Dept. of Cse, Bangladesh","Uddin M.R., International Islamic University Chittagong, Dept. of Cse, Kumira, Chittagong, 4318, Bangladesh; Al Noman A., International Islamic University Chittagong, Dept. of Cse, Kumira, Chittagong, 4318, Bangladesh; Tasnim F., International Islamic University Chittagong, Dept. of Cse, Kumira, Chittagong, 4318, Bangladesh; Nafisa N., International Islamic University Chittagong, Dept. of Cse, Kumira, Chittagong, 4318, Bangladesh; Hossain S., Sylhet Engineering College, Dept. of Cse, Bangladesh","Enterprise Resource Planning (ERP) software has become a very important part of the business nowadays. The main aim of this paper is to choose the most qualified and efficient ERP system in Bangladesh. MCDM is a process where complex decision making is easy compared to many alternatives based on multi-criteria. AHP and TOPSIS are two models of MCDM. Using the AHP-TOPSIS integrated model based on multi-criteria, investigation selects the best ERP systems. Integrated AHP-TOPSIS model reduces the pairwise comparison between the criteria of alternatives. Our proposed method can choose appropriate ERP software for an organization according to their demands. For selecting the best ERP software by integrating AHP-TOPSIS is probably the first research in Bangladesh.  © 2021 IEEE.","AHP; AHP-TOPSIS; ERP; MCDM; TOPSIS","Institute of Electrical and Electronics Engineers Inc.","","978-166541460-9","","Conference paper","Final","","Scopus","2-s2.0-85104592842"
"Ahn B.; Ahn H.","Ahn, Byungchan (57218698649); Ahn, Hyunchul (8915864100)","57218698649; 8915864100","Factors affecting intention to adopt cloud-based ERP from a comprehensive approach","2020","Sustainability (Switzerland)","12","16","6426","","","","36","10.3390/SU12166426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090086309&doi=10.3390%2fSU12166426&partnerID=40&md5=33d9168c9a95b3270ec0416d50f6671a","Graduate School of Business IT, Kookmin University, 77 Jeongneung-ro, Seongbuk-gu, Seoul, 02707, South Korea","Ahn B., Graduate School of Business IT, Kookmin University, 77 Jeongneung-ro, Seongbuk-gu, Seoul, 02707, South Korea; Ahn H., Graduate School of Business IT, Kookmin University, 77 Jeongneung-ro, Seongbuk-gu, Seoul, 02707, South Korea","To enhance the sustainability of business operations, enterprises have interests in enterprise resource planning (ERP) transitions from an existing on-premise method to a cloud-based system. This study conducts a comprehensive analysis using the technology-organization-environment, diffusion of innovation, and the model of innovation resistance frameworks. The empirical analysis shows that the factors of organizational culture, regulatory environment, relative advantage, trialability, and vendor lock-in all had a significant influence on the intention to adopt cloud-based ERP, while information and communications technology skill, complexity, observability, data security, and customization had no significant influence on the intention to adopt cloud-based ERP. This study's findings provide meaningful guidance for companies that want to adopt cloud-based ERP, governments that support enterprise digitalization, and vendors who sell cloud-based ERP systems. © 2020 by the authors.","Adoption; Cloud ERP; Innovation; Resistance; Technology-organization-environment","MDPI","20711050","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85090086309"
"Soprakan C.; Kiattisin S.","Soprakan, Chulalux (57244405400); Kiattisin, Supaporn (25655027300)","57244405400; 25655027300","Impact of disruptive technology on sustainable enterprise resource planning (S-ERP)","2021","Journal of Mobile Multimedia","17","4","","749","772","23","0","10.13052/jmm1550-4646.17413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114181244&doi=10.13052%2fjmm1550-4646.17413&partnerID=40&md5=d79afa1fc6c6f7bc146b2b1727777a62","Information Technology Management, Faculty of Engineering, Mahidol University, Phuttamonthon, NakhonPathom, Salaya, Thailand","Soprakan C., Information Technology Management, Faculty of Engineering, Mahidol University, Phuttamonthon, NakhonPathom, Salaya, Thailand; Kiattisin S., Information Technology Management, Faculty of Engineering, Mahidol University, Phuttamonthon, NakhonPathom, Salaya, Thailand","In the 21st century, we face the disruptive technology in several ways; meanwhile, the business industry still needs a sustainable system for their ultimate goal as a competitive advantage in terms of differentiation focus or cost focus. This research provides the impact result once business utilizes emerging technology in their company. For the methodology, we use factors in technology adoption from the innovation diffusion theory (IDT) for new-technology selection. In the case study, we use simulation robotic process automation (RPA) installation in the routine business process to estimate business impact. Accounting tools such as payback method (PP), net present value (NPV), internal rate of return (IRR) are used to estimate cost savings and return on investment. RPA is one of many technologies that can work collaboratively with the existing enterprise resource planning (ERP) system, new technology, and business process improvement (BPI) process. The experience results show that the RPA provides time-saving 14 times in total processes with payback result in 3.6 years and 52% IRR. © 2021 River Publishers","Digitalization in business; Enterprise resource planning (ERP); Robotic process automation (RPA); Sustainability; Sustainable development goals (SDGs)","River Publishers","15504646","","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85114181244"
"Goryunova V.V.; Goryunova T.I.; Lukinova O.V.","Goryunova, V.V. (57201774163); Goryunova, T.I. (57201778956); Lukinova, O.V. (57198497475)","57201774163; 57201778956; 57198497475","Ontologically-Oriented methods of integration of modular ERP systems","2017","RPC 2017 - Proceedings of the 2nd Russian-Pacific Conference on Computer Technology and Applications","2017-December","","","75","79","4","7","10.1109/RPC.2017.8168072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046073508&doi=10.1109%2fRPC.2017.8168072&partnerID=40&md5=477a338ec2bcc8c2b2555a0a4e0d3d77","Faculty of Biotechnology, Penza State Technological University, Penza, Russian Federation; A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation","Goryunova V.V., Faculty of Biotechnology, Penza State Technological University, Penza, Russian Federation; Goryunova T.I., Faculty of Biotechnology, Penza State Technological University, Penza, Russian Federation; Lukinova O.V., A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation","The article presents ontologically-oriented tools and applications for creating an intellectual environment for engineering interaction in enterprise resource planning systems. It is noted that the usage of modular ontologies to provide data sustainability is a key factor in the 'cross-linking' of local systems and different-type applications in the environment of enterprise resource planning systems. © 2017 IEEE.","automated control systems; ERP systems; information security; integrated environments; ontology engineering; protection profile","Institute of Electrical and Electronics Engineers Inc.","","978-153861206-4","","Conference paper","Final","","Scopus","2-s2.0-85046073508"
"Mezghani K.","Mezghani, Karim (55510020000)","55510020000","Exploring the strategic alignment concern when switching toward cloud ERP","2016","Proceedings of the 27th International Business Information Management Association Conference - Innovation Management and Education Excellence Vision 2020: From Regional Development Sustainability to Global Economic Growth, IBIMA 2016","","","","2495","2505","10","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984622185&partnerID=40&md5=0bdb5728ec8d583a2c154884527d9a40","Al Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia","Mezghani K., Al Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia","Since the development of the Strategic Alignment model (SAM) by Henderson and Venkatraman, the IT-business alignment emerged as an important issue when evaluating the IT projects success and involved several studies showing the necessity of such alignment. When talking about enterprise systems, mainly the ERP (Enterprise Resource Planning), alignment was shown as a critical factor for ERP projects success. The development of cloud computing and the difficulties linked to on-premise solutions implementation are pushing many firms to switch toward cloud-based ERP. However, existing studies on such systems adoption focus basically on benefits and risks issues. Thus, this paper aims to explore the alignment concern when switching toward cloud ERP. Through a literature review, the author first presents the alignment concerns during IT implementation and the factors that could help to achieve alignment. Then, by reviewing the existing studies on cloud ERP in terms of benefits and risks, the alignment concerns linked to such solutions are identified. From this literature review and then a case study conducted within a Tunisian firm, it is showed that cloud ERP alignment is a challenging issue that should involve adaptations (technical dimension) and social practices (social dimension) to be achieved. Copyright © 2016 International Business Information Management Association","Alignment; Cloud ERP; Social dimension; Switching","International Business Information Management Association, IBIMA","","978-098604196-9","","Conference paper","Final","","Scopus","2-s2.0-84984622185"
"Heinz S.","Heinz, Steve (35177597300)","35177597300","The Case for ""Energy and Sustainability ERP"" Software","2023","2023 AEE World Energy Conference and Expo","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182726268&partnerID=40&md5=eb6242af884a2884a327fc13e891a885","EnergyCAP LLC, United States","Heinz S., EnergyCAP LLC, United States","An ERP – Enterprise Resource Planning – software is a platform that helps organizations manage cross-functional business activities and processes. ERPs have matured greatly over the years, and today there are well-known ERPs for finance, HR, supply chain, customer management and facilities. Now’s the time for an important new category: ""Energy and Sustainability ERP."" Data needed for holistic energy and sustainability management are often spread across multiple systems and sources, requiring inordinate time and effort to perform important tasks such as EPA ENERGY STAR integration, carbon accounting, utility bill validation and processing, energy and water conservation and much more. An integrated ""Energy and Sustainability ERP"" would span systems and departments, and provide a single source of truth for increasingly important energy and sustainability-related business analysis, planning and reporting. © 2023 AEE World Energy Conference and Expo.","","Association of Energy Engineers (AEE)","","978-171388393-7","","Conference paper","Final","","Scopus","2-s2.0-85182726268"
